province,points,percentage
Rheinhessen,88.82014388489209,13.11320754716981
Mosel,90.04007820136853,48.25471698113208
Rheingau,90.99350649350649,14.528301886792454
Franken,88.71052631578948,1.7924528301886793
Ahr,90.22222222222223,0.42452830188679247
Nahe,89.45,3.7735849056603774
Pfalz,89.06629834254143,8.537735849056604
Württemberg,88.27272727272727,1.0377358490566038
Baden,89.6774193548387,2.9245283018867925
Mosel-Saar-Ruwer,89.77227722772277,4.764150943396227
Germany,87.33333333333333,0.5660377358490566
Mittelrhein,92.25,0.18867924528301888
Landwein Rhein,89.0,0.09433962264150944
