province,points,percentage
Burgenland,89.64726631393297,20.257234726688104
Leithaberg,91.44117647058823,1.2147195426938193
Kremstal,90.86301369863014,10.432297249017505
Weinviertel,89.73809523809524,3.0010718113612005
Niederösterreich,89.0956340956341,17.184708824580206
Wagram,90.85483870967742,2.2150768131475527
Österreichischer Sekt,88.44262295081967,2.179349767774205
Kamptal,91.39644970414201,12.075741336191497
Steiermark,87.57142857142857,0.5001786352268668
Südsteiermark,89.82051282051282,2.7867095391211145
Südoststeiermark,89.22222222222223,0.9646302250803859
Wiener Gemischter Satz,90.52,0.8931761343336906
Wachau,91.66558441558442,11.003929974991069
Traisental,91.25581395348837,1.5362629510539478
Thermenregion,90.21495327102804,3.8227938549481957
Carnuntum,90.41666666666667,3.429796355841372
Weinland Österreich,88.0,0.571632725973562
Wagram-Donauland,89.55882352941177,1.2147195426938193
Vienna,90.44827586206897,2.0721686316541623
Neusiedlersee,88.63636363636364,0.39299749910682386
Mittelburgenland,88.78947368421052,0.6788138620936048
Eisenberg,91.1875,0.571632725973562
Austria,87.0909090909091,0.7859949982136477
Österreichischer Perlwein,85.5,0.1429081814933905
Südburgenland,94.0,0.07145409074669525
