province,points,percentage
Thracian Valley,88.14545454545454,78.01418439716312
Danube River Plains,89.10526315789474,13.47517730496454
Black Sea Coastal,84.33333333333333,2.127659574468085
Bulgaria,84.11111111111111,6.382978723404255
