price,points
6.0,84.34745762711864
7.0,84.45034642032333
8.0,84.62892376681614
9.0,85.03659447348768
10.0,85.23931375399826
11.0,85.47107438016529
12.0,85.80696846388607
13.0,86.054396843292
14.0,86.47448662103298
15.0,86.65496208374546
16.0,87.01071932299013
17.0,87.1551328304362
18.0,87.24912927678754
19.0,87.58976182012087
20.0,87.62049582012108
21.0,87.80146460537021
22.0,87.91261556814793
23.0,87.94574095682614
24.0,88.02053824362606
25.0,88.20910973084887
26.0,88.22626025791325
27.0,88.44798657718121
28.0,88.38699795779442
29.0,88.6085075702956
30.0,88.66720582288718
31.0,89.3804347826087
32.0,88.85015290519878
33.0,88.98353293413173
34.0,88.95970009372071
35.0,89.11970534069981
36.0,89.20287769784173
37.0,89.4448669201521
38.0,89.30938586326766
39.0,89.50649350649351
40.0,89.50736243864634
41.0,89.65979381443299
42.0,89.76550249465431
43.0,90.0064308681672
44.0,90.2764505119454
45.0,89.89696969696969
46.0,90.1093023255814
47.0,90.01673640167364
48.0,90.34530175706647
49.0,90.15213675213676
50.0,90.28991596638656
52.0,90.43907156673114
53.0,90.40106951871658
54.0,90.61979166666667
55.0,90.59262998485613
56.0,90.64948453608247
57.0,90.89583333333333
58.0,91.02905569007264
59.0,90.30038022813689
60.0,90.69257795344753
62.0,91.26482213438736
64.0,91.47311827956989
65.0,90.71437422552664
66.0,91.63559322033899
68.0,91.35135135135135
69.0,91.0051282051282
70.0,91.29181818181819
72.0,91.13483146067416
75.0,91.14041339985745
78.0,91.528
79.0,91.1640625
80.0,91.29965947786606
85.0,91.58778625954199
90.0,91.69022556390978
95.0,91.7103274559194
100.0,91.91452991452991
105.0,92.50375939849624
110.0,92.095
115.0,92.64035087719299
120.0,92.10687022900764
125.0,92.14329268292683
130.0,92.34042553191489
135.0,92.18181818181819
140.0,92.54464285714286
150.0,92.76569037656904
